124, 2022-11-01, Return, 2076, 25.00, 3.75, 28.75, 5.00
125, 2022-11-01, Drop off, 2001, 12.00, 1.80, 13.80, 0.00
126, 2022-12-02, Return/1 stop,  1968, 27.00, 4.05, 31.05, 7.00
127, 2022-12-02, Drop off, 2301, 12.00, 1.80, 13.80, 2.50
128, 2022-11-03, Drop off/3 stops, 2222, 18.00, 2.70, 20.70, 4.75
129, 2022-12-03, Return, 1968, 25.00, 3.75, 28.75, 10.00
130, 2022-12-04, Drop off, 1978, 12.00, 1.80, 13.80, 6.50
131, 2022-11-04, Drop off/1 stop, 2001, 14.00, 2.10, 16.10, 5.00
132, 2022-12-05, Return/4 stops, 3333, 33.00, 4.95, 37.95, 15.00
133, 2022-12-05, Return, 2106, 25.00, 3.75, 28.75, 2.00
134, 2022-11-06, Drop off, 2301, 12.00, 1.80, 13.80, 2.50
135, 2022-12-07, Return, 1968, 25.00, 3.75, 28.75, 0.50
136, 2022-12-07, Return/no pay, 1111, -25.00, -3.75, -28.75, 0.00
137, 2022-12-08, Drop off/1 stop, 2076, 14.00, 2.10, 16.10, 5.00
138, 2022-12-08, Drop off, 2106, 12.00, 1.80, 13.80, 3.00
139, 2022-12-09, Return/2 stops, 1978, 29.00, 4.35, 33.45, 12.00
140, 2022-12-09, Drop off/1 stop, 2076, 14.00, 2.10, 16.10, 0.00
141, 2022-12-10, Return, 2001, 25.00, 3.75, 28.75, 5.00
142, 2022-12-10, Drop off, 2076, 12.00, 1.80, 13.80, 5.00
143, 2022-12-10, Return/1 stop, 2106, 27.00, 4.05, 31.05, 20.00
